Je n'ai pas à vous parler.,I don't have to talk to you.
Je n'ai pas de chez moi.,I don't have a home.
Il ne la veut pas.,He doesn't want it.
Je ne veux pas y aller.,I don't want to go.
Je ne vais pas bien.,I'm not well.
Il me l'a fait faire.,He made me do it.
Il est plus fort que moi.,He's stronger than me.
Je l'ai fait pour lui.,I did it for him.
Je dois la voir !,I have to see it!
Il le fait comme il faut.,He's doing it right.
De quoi ça a l'air ?,What does it look like?
Que fait ton père ?,What does your father do?
Je n'ai rien fait !,I didn’t do anything!
Je suis dans la maison.,I am in the house.
Je n'ai pas ce livre.,I don't have this book.
Tu sais ce que c'est.,You know what it is.
Il ne me parle jamais.,He never speaks to me.
Je veux le voir.,I want to see it.
Si tu veux.,If you want.
Je te l'ai dit !,I told you so.
Tu as tout.,You have everything.
Je veux être là avec toi.,I want to be here with you.
Il était plus petit que moi.,He was shorter than me. ]
Je n'ai pas dit ça.,I didn't say that.
Il ne s'est pas fait prendre.,He didn’t get caught.
Il n'est plus ici.,He is no longer here.
Il n'y a que moi ici.,There's no one but me here.
Je l'ai fait pour toi.,I did it for you.
Je ne vous ai pas entendu.,I didn't hear you.
Tout le monde le pense.,Everyone thinks so.
Il ne veut pas en parler.,He doesn't want to talk about it.
Nous avons beaucoup à faire.,We have a lot to do.
Ce n'est pas assez bien.,It's not good enough.
Il n'a rien à faire.,He has nothing to do.
Je vous aime vraiment.,I really love you.
Je veux te le dire.,I want to tell you.
Il vous faut me le dire.,You must tell me.
Tout le monde est chez lui.,Everybody's home.
Je suis très grand.,I am very tall.
Je veux te parler.,I want to talk to you.
Je suis plus belle que vous.,I am more beautiful than you.
C'est ce que je veux dire.,What I want to say is this.
Où est le livre ?,Where is the book?
Il est bon à quelque chose.,He is good for something.
Tout le monde le dit.,Everyone's saying it.
C'est tout à fait juste.,That's absolutely right.
Il me faut vraiment y aller.,I really do have to go.
Ça n'a pas de sens.,This doesn't make sense.
Tu dois me le dire.,You must tell me.
Je n'aime pas vraiment en parler.,I don't really like to talk about it.
Il est grand temps !,It's about time.
Encore un peu ?,A little more?
Il a tout vu.,He saw everything.
Il sait ce qu'il fait.,He knows what he's doing.
Il a peur de son père.,He is afraid of his father.
Je sais que vous avez peur.,I know you're scared.
Il m'a tout dit.,He told me everything.
