"vive la politique, vive l’amour","long live politics, long live love"
il ne rêve que d’argent et de plaisirs,he only dreams of money and pleasure
je me suis cassé un ongle,I broke one of my fingernails
ils restent à l’école le plus longtemps possible,they remain at school as long as possible
tout le monde veut être beau,everybody wants to be beautiful
et les larmes se remirent à couler,and the tears started flowing again
je suis retournée en Espagne en septembre,I returned to Spain in September
on était six donc tu peux pas avoir une conversation,there were six of us so you can’t have a conversation
c’est un soldat. mais que fait-il ici?,it’s a soldier. but what’s he doing here?
elle jouait pour gagner,she played to win
je reviendrai dans dix minutes,I will return in 10 minutes
je ne déteste pas cet homme,I do not detest this man
allez voir s’il est blessé,go see if he is injured
je ne sais pas à qui m’adresser,I don’t know who to talk to
nous ne faisons pas du très bon travail,we are not doing very good work
t’avais une chance sur un million,you had one chance in a million
"avec ce traité, le Japon se rapproche des Etats-Unis","with this treaty, Japan brings itself closer to the U.S."
"non, ne touchez pas!","no, don’t touch it!"
il est considérablement plus jeune que moi,he’s considerably younger than I am
tu peux jouer de la guitare électrique,you can play electric guitar
il s’y trouvait par hasard,he found himself there by accident
je suis contente de vous revoir,I am happy to see you again
vous voulez aller au ciné avec moi?,do you want to go to a movie with me?
"comme vous voyez, tout est propre","as you see, everything is clean"
qu’est-ce qu’il fait?,what’s he doing?
un ami ingénieur du son m’aide pour les arrangements,a sound engineer friend of mine helped me with the arrangements
je peux me mettre à votre table?,may I sit at your table?
il y a un autre problème,there’s another problem
on tire et on pose les questions ensuite,we shoot first and ask questions later
"je ne suis pas riche, mais je connais la vérité","I’m not rich, but I know the truth"
nous devons nous défendre nous-mêmes,we must defend ourselves
"Tony et moi, on est comme des frères","Tony and I, we’re like brothers"
il en reste du café ou pas?,is there some coffee left or not?
"aujourd’hui, notre économie va si mal",today our economy is going so poorly
l’énergie solaire assurait leur survie,solar energy assured their survival
c’est certain qu’on va y aller,it’s for certain that we’ll be going there
je décrochais le téléphone sans rien dire à personne,I picked up the telephone receiver without saying anything to anyone
j’étais fou amoureux. elle m’aimait bien,I was head-over-heels in love. she loved me a lot
je dois travailler sans la moindre entrave,I must work without the least bit of hindrance
tu vas te pencher en avant,you’re going to lean forward
il prend le train deux fois par semaine pour affaires,he takes the train on business twice per week
ils ne s’excusent même pas,they don’t even excuse themselves
elle lui prit la main,she took him by the hand
je rêvais aussi de beaucoup voyager,I also dreamed of traveling a lot
tu es celui que je respecte le plus,you’re the one I respect the most
j’aurais donné ma vie pour lui,I would have given my life for him
tout va bien maintenant,everything’s going well now
on ne dit pas où il vit,they aren’t saying where he lives
lève la main une fois,raise your hand one time
"ici, vous avez une personnalité publique","here, you are a public personality"
tu as encore menti à ta femme,you lied once again to your wife
il a construit une nouvelle vie ici,he made a new life for himself here
"tu devrais aller te coucher, tu as l’air vanné","you should go to bed, you look wiped out"
cela demande de l’intégrité et du courage,that requires integrity and courage
je marche entre les maisons,I’m walking between the houses
"est-elle la première épouse, la deuxième?","is she the first wife, the second one?"
tu veux faire ton chemin. c’est bien,you want to continue on your way. that’s OK
les rues étaient déjà pleines de monde,the streets were already full of people
tu es plus grand que je pensais,you’re taller than I thought
t’aurais pu rencontrer mon copain,you could’ve met my buddy
reviens me voir dans cinq ou six ans,come back to see me in five or six years
il avait moins d’excuses encore que ses complices,he had even less excuses than his accomplices did
trop d’argent et aucun goût,too much money and no taste
mais j’ai confiance qu’en lui,but I have confidence in him
"sur le plan spirituel, le temps n’existe pas","on the spiritual level, time does not exist"
"j’ai été bonne? très, très bonne","was I good? very, very good"
je ne savais plus quoi dire,I didn’t know what to say any more
"il ne faut pas être raciste, point","there’s no need to be a racist, at all"
je tenais seulement à te voir pour te dire ... bonne chance,I just wanted to see you to say ... good luck
il restera pour quelques mois,he will stay for a few months
je fais plus jeune sans maquillage,I look younger without makeup
"elle a raison, tu sais","she’s right, you know"
notre ville a le sens de la communauté,our city has a sense of community
on a tout ce dont tu rêvais en ville,everything you dreamed about is available in town
"non, je ne peux pas parler maintenant","no, I can’t talk now"
j’avais un an à la mort de mon père,I was one year old when my father died
notre ultime but est de reconstruire le monde,our ultimate goal is to remake the world
"un jour, je retrouverais mes vrais parents","one day, I would find my real parents"
"comment allez-vous , monsieur?","how are you, sir?"
j’ai un service à vous demander,I would like to ask you to do something for me
et alors? vous revenez quand?,so? when are you coming back ?
il a succombé à ses blessures peu après,he shortly thereafter succumbed to his wounds
j’ai trouvé du sang. sur le siège avant,I found some blood. on the front seat
il ne parlait à personne en particulier,he was speaking to nobody in particular
je m’y rendis à 4 heures du matin,I went there at 4 o’clock in the morning
je voudrais vous faire part de quelques données,I want to share some data with you
c’est le dernier endroit où vous auriez dû vous rencontrer,that’s the last place you should have met
venez rencontrer les autres,come meet the others
où t’étais pendant tout ce temps?,where were you all of this time?
nous sommes passées devant la maison de ma grand-mère,we went past the front of my grandmother’s place
un secret se dévoile peu à peu,a secret unfolds little by little
il y a bien des points sur lesquels je voudrais faire des commentaires,there are many points on which I would like to comment
"deux, trois et ainsi de suite","two, three, and so on"
ce n’est pas le bon moment,it’s not a good time
je comprends que vous soyez fâché,I understand that you’re upset
je le connais depuis le lycée,I have known him since high school
je suis d’accord avec ce point de vue,I’m in agreement with that point of view
qu’est-ce qui le pousse à agir ainsi?,what drives him to act that way?
a quelle heure sont-ils partis?,at what time did they leave?
"le temps qu’il te reste, trouve une solution","in the remaining time, find a solution"
parler tout seul était signe d’aliénation,talking to oneself was a sign of loneliness
il devait se présenter l’année suivante,he had to show up the next year
tu es toujours en retard,you’re always late
c’est une porte de sécurité. tiens ça,it’s a security door. hold this
il a porté le maillot jaune un jour,he wore the yellow jersey one day
je sais de quoi je parle,I know what I’m talking about
c’est une femme forte,she is a strong woman
c’est une étrange façon de montrer votre reconnaissance,that’s a strange way to show your gratitude
je n’étais pas passé par là,I hadn’t passed by there
certains ont affirmé que le gouvernement était trop faible,some contend that the government was too weak
la fin est importante en toutes choses,the endingisimportantineverything
"a ma place, tu ne le ferais pas","in my position, you would not do it"
tu continues de m’impressionner,you continue to impress me
ils vivent dans ce beau pays,they live in this beautiful country
les trois chasseurs étaient en pleine lumière,the three hunters were directly in the light
je pense que vous le connaissez bien,I think you know him very well
je suis né dans un lieu public,I was born in a public place
il garde la majeure partie de cet argent,he’s keeping most of that money
tu aurais dû me tuer quand tu en as eu l’occasion,you should have killed me when you had the chance
"les autres, suivez-moi!","everybody else, follow me!"
"je vois, tu es en colère contre moi",I see you’re angry with me
juste sous ton nez,right under your nose
il s’arrête à côté du fauteuil,he stops beside the armchair
on n’a jamais été si bien ensemble,we’ve never gotten along so well together
les choses pourraient bien changer à l’avenir,things could change in the future
mes enfants sont en vie,my children are alive
ces hallucinations ont une cause,these hallucinations have a cause
elle se spécialise en sciences politiques,her specialty is political science
je n’aimerais pas être à votre place,I wouldn’t want to be in your stead
"on va seulement rester quelques jours, ma chérie","we’re only going to stay a few days, my dear"
tu sors avec moi ce soir?,are you going out with me tonight?
je suis sûr qu’elle est en vie,I’m sure she’s alive
je le connaissais depuis vingt ans,I had known him for twenty years
ils me poursuivirent jusque dans la rue,they followed me right into the street
je n’arrive pas à y croire,I just can’t believe it
l’homme est plus important que l’État,man is more important than country
"en tout cas, moi, je ne l’ai pas","in any case, I don’t have it"
ce petit drogué n’a pas tort,this little drug addict isn’t wrong
il est important que ces entretiens commencent immédiatement,it’s important that these meetings start immediately
je peux compter sur toi,I can count on you
"dans les faits, il a raison","factually, he is correct"
je vais m’abstenir d’employer un tel langage,I’m going to refrain from using such language
elle a le droit de tout savoir,she has the right to know everything
je suis gêné de répondre à cette question,I’m embarrassed to answer this question
nous avons donc dû faire les calculs nous-mêmes,we had to do the calculations ourselves
quel livre cherchiez-vous?,which book are you looking for?
voici quelques conseils généraux,here are a few general pieces of advice
arrête de parler pour un moment,stop talking for a moment
j’ai entendu la nouvelle,I heard the news
il est en mesure de révéler beaucoup de choses,he’s in a position to reveal many things
chaque entreprise doit avoir sa propre organisation,every company must have its own organization
le gouvernement cherche à exploiter les jeunes,the government is trying to exploit young people
je ne prenais pas mon travail au sérieux,I wasn’t taking my work seriously
je vous déclare maintenant mari et femme,I now declare you husband and wife
ma mère m’attend dans la grande salle,my mother awaits me in the large room
on s’est remis à marcher,we resumed walking
comment s’appelle-t-il?,what’s his name?
vous permettez que j’utilise votre téléphone?,would you allow me to use your telephone?
sa main droite était occupée à tenir la petite valise,his right hand was busy holding the small suitcase
le gouvernement a augmenté les impôts,the government increased taxes
c’est eux qui comptent,they are the ones who matter
je suis très heureux que vous deveniez ma voisine,I’m very happy you’ve become my neighbor
il est parti à présent,he is gone for the moment
achetez donc un plan de la ville,so buy a map of the city
j’ai décidé d’écrire un roman,I decided to write a novel
il a pas le choix: soit il est une star soit il est rien,he doesn’t have a choice: either he’s a star or he’s nothing
moi je reste ici,I’m going to stay here
"moi, je n’en sais rien",I don’t know anything about it
ils organisaient des petits cours et des séminaires,they organized short courses and seminars
occupe-toi de tes affaires,mind your own business
quel est son nom?,what is his name?
il provient sûrement d’une excellente famille,he surely comes from an excellent family
"il s’agit, en effet, d’une question cruciale","it is, indeed, a crucial question"
cela ne m’était pas arrivé depuis,that hasn’t happened to me since
nous avons donc deux scénarios possibles,so we have two possible scenarios
"c’est dommage, car tu vas perdre un gros client","it’s too bad, because you’re going to lose a major customer"
il m’a servi une coupe de champagne,he served me a glass of champagne
il a écrit ce livre en deux mois,he wrote this book in two months
je jure de ne plus jamais te contacter,I swear I will never contact you again
le processus semble irréversible,the process seems irreversible
mais vous avez tant à enseigner,but you have so much to teach
un tram se dirige vers toi. monte dedans,a tram is approaching you. get on it
nous avons vraiment besoin d’aide,we really need some help
je sais qu’elle ne reviendra jamais,I know she will never return
on me fera signe dès que vous descendrez,they’ll wave to me as soon as you get down there
il songeait aux moyens de profiter de sa victoire,he was dreaming of a way to profit from his victory
on va commencer avec le premier groupe,we’ll start with the first group
nous avons osé soulever le problème,we dared raise the problem
je propose que le rapport du comité soit adopté,I move that the committee’s report be adopted
j’ai peut-être une idée,I might have an idea
"la vue est belle, de cette fenêtre",the view from this window is pretty
je ne peux pas partir maintenant,I can’t leave now
pourquoi tu ne m’invites pas?,why don’t you invite me?
j’apprends à être un meilleur mari,I’m learning to be a better husband
la vie est trop courte. essayez d’être heureuse,life is too short. try to be happy
il va nous laisser tranquilles,he’ll leave us alone
ce sont des scientifiques de premier ordre,they are first-rate scientists
une fumée montait devant nous sur l’horizon,smoke billowed ahead of us on the horizon
il n’a plus reçu de lettres de moi,he didn’t receive any more letters from me
j’aimerais y répondre par une autre question,I would like to respond to it with another question
