à,at; in; to; with
à base de,based on
à bientôt,see you soon
à bon port,safely; safe and sound
à bord,on board
à cause de,because of
à ce jour,to date
à ce moment-là,at that time
à ciel ouvert,open-air
à côté,nearby; close; next door
à côté de,beside; compared to
à croire que,be supposed that
à demain,see you tomorrow
à demi,half
à destination,destination
à deux pas,close by; not far away from
à distance,at a distance (in time); from afar
à domicile,at home
à dos,ride; on one's back
à droite,on the right
à fond,completely; thoroughly
à force de,keep doing sth
à gauche,on the left
à genoux,on one's knees; kneeling
à grands pas,quickly; advance by leap; great step forward
à haut risque,high tide; high-risk
à jour,up-to-date
à l’heure,on time
à la belle étoile,out in the open; outside
à la carte,à la carte
à la fin de,at the end of
à la fois,at the same time
à la française,French style
à la légère,lightly; thoughtlessly
à la main,by hand
à la mémoire de,in memory of
à la mode,fashionable; popular
à la place de,instead of
à la pointe de,at the peak of; to the forefront of; right up to
à la portée de,within range of
à la prochaine,see you again
à la provençale,à la provençale
à la recherche de,be in search of
à la tête,at the head of; at the top of
à l'aide,help
à l'aide de,using; with the help of
à l'aise,comfortable
à l'anglaise,English style
à l'appareil,on the phone; speaking
à l'approche de,approach
à l'assaut,attack
à l'autre bout de,on the other side of
à l'autre bout de la ligne,at the other end of the line
à l'autre bout du fil,at the other end of the line
à l'avance,in advance
à l'échelle de,at the level of
à l'écoute,be listening to
à l'envers,upside down
à l'époque,at the time; back then
à l'étranger,abroad
à l'extérieur,outside
à l'heure,on time
à l'idée de,at the idea of
à l'improviste,unexpectedly
à l'intérieur,inside
à l'occasion de,on the occasion of
à l'ombre de,in the shade of
à long terme,long-term; in the long term
à l'origine,originally; at the beginning
à même de,able to
à mi-chemin,halfway; midway
à moins de,unless
à moins que,unless
à moitié,half
à mon avis,in my opinion; in my point of view
à moyen terme,in the medium term
à nouveau,again
à part,aside; separately
à partir de,from; since
à peine,scarcely; hardly
à peu près,about; roughly
à pied,on foot
à plusieurs reprises,several times
à point,medium rare
à première vue,at first sight
à présent,now
à propos,by the way
à propos de,about
à rude épreuve,a severe test
à sa guise,as I please
à temps,in time
à tout moment,any time
à toute heure,at all times; at any time; whatever the time
à toute vitesse,in double-quick time
à travers,through
à vos marques,on your marks
à votre avis,in your opinion; from your point of view
à votre santé,cheers
abaisser (v.),lower; reduce
abandonner (v.),abandon; give up
abbaye (n.f.),abbey
abdominaux (n.m.pl.),abdominal muscles
abeille (n.f.),bee
abîmé,damaged; spoilt
abîmer (v.),damage; spoil
ablation (n.f.),excision; removal
aboiement (n.m.),bark
abondant,abundant
abonné (n.m.),subscriber; consumer; season-ticket holder
abonnement (n.m.),subscription
abordable,affordable; accessible; approachable
aborder (v.),approach; tackle; board; reach
aboyer (v.),bark; yell
abreuver (v.),swamp; water; irrigate
abri (n.m.),shelter
abricot (n.m.),apricot
abriter (v.),shelter
absence (n.f.),absence
absent,away; absent; be out
absolument,absolutely; completely
abstrait,abstract
abuser (v.),overdo; overindulge; overuse
abusif,excessive
académie (n.f.),academy
Académie française (n.pr.f.),the French Academy
Académie Goncourt (n.pr.f.),literary society whose members choose the winner of the Prix Goncourt
acajou,mahogany
accéder (v.),get to; have access to
accélération (n.f.),acceleration
accent (n.m.),accent
accentuer (v.),accentuate; emphasize
acceptable,acceptable; reasonable
acceptation (n.f.),acceptance
accepter (v.),accept; agree
