the (f),la
the (m),le
girl,la fille
boy,le garçon
a (m),un
a (f),une
woman,la femme
I am,je suis
man,l&#39;homme (m)
He is,Il est
apple,la pomme
red,rouge
rich,riche
You are (i),Tu es
child,l&#39;enfant (m)
I eat,je mange
you eat (i),tu manges
she eats,elle mange
orange,orange
calm,calme
cat (m),le chat
black,noir
dress,la robe
she has,elle a
and,et
the (plural),les
we are,nous sommes
men,les hommes
I like,j&#39;aime
he likes,il aime
I write,j&#39;écris
you write (i),tu écris
book,le livre
letter,la lettre
you are,vous êtes
you eat,vous mangez
you have,vous avez
we have,nous avons
we eat,nous mangeons
we like,nous aimons
she reads,elle lit
we read,nous lisons
newspaper,le journal
menu,le menu
they are (m),ils sont
they write (f),elles écrivent
they read (m),ils lisent
they eat (f),elles mangent
thank you,merci
yes,oui
no,non
goodnight,bonne nuit
"I am fine, thanks. (i)","Ça va bien, merci."
Hi!,Salut!
hello,bonjour
sorry (excuse),pardon
goodbye,au revoir
please,s&#39;il vous plaît
please (i),s&#39;il te plaît
there is/are,Il y a
"okay, all right",d&#39;accord
see you later,à plus tard
see you soon,à bientôt
see you tomorrow,à demain
How are you? (i),Comment ça va?
you&#39;re welcome (literally &quot;it&#39;s nothing&quot;),de rien
I am sorry,Je suis désolé
Thank you very much,Merci beaucoup
good evening,bonsoir
pasta,les pâtes
"sauce, dressing",la sauce
candy,le bonbon
onion,l&#39;oignon (m)
carrot,la carotte
grapes,le raisin
jam,la confiture
oil (cooking or lubricant),l&#39;huile (f)
bean,le haricot
meat,la viande
tomato,la tomate
sandwich,le sandwich
baguette,la baguette
soup,la soupe
You drink (i),tu bois
water,l&#39;eau (f)
alcohol,l&#39;alcool (m)
egg,l&#39;oeuf (m)
salad,la salade
they drink (m),ils boivent
rice,le riz
bread,le pain
wine,le vin
milk,le lait
beer,la bière
kitchen,la cuisine
drink,buvez
coffee,le café
tea,le thé
crepe,la crêpe
meal,le repas
butter,le beurre
to drink,boire
to eat,manger
banana,La banane
cheese,le fromage
fish,le poisson
with,avec
salt,le sel
sugar,le sucre
pepper,le poivre
chicken,le poulet
pork,le porc
cake,le gâteau
lemon,Le citron
chocolate,le chocolat
beef,le boeuf
strawberry,la fraise
juice,le jus
fly (insect),"""la mouche<div><img src=""""paste-1163936137428.jpg"""" /></div>"""
spider,"""l'araignée (f)<div><img src=""""paste-1662152343754.jpg"""" /></div>"""
dolphin,le dauphin
shark,le requin
"monkey, ape",le singe
tiger,le tigre
bee,l&#39;abeille (f)
snake,le serpent
butterfly,le papillon
whale,la baleine
zoo,le zoo
wolf,le loup
horse,le cheval
dog,le chien
animal,l&#39;animal
bird,l&#39;oiseau (m)
duck,le canard
female cat,la chatte
elephant,l&#39;éléphant (m)
bear,l&#39;ours (m)
tortoise/turtle,la tortue
lion,le lion
female dog,la chienne
cow,la vache
pig,le cochon
insect,l&#39;insecte (m)
ant,la fourmi
mouse,la souris
"hen, chicken",la poule
rabbit,le lapin
"alone, lonely, only",seul
strong,fort
clean,propre
cold,froid
hot,chaud
good,bon
small,petit
young,jeune
easy,facile
"light (adj, weight)",léger
dirty,sale
new,nouveau
new (f),nouvelle
tall,grand
fat,gros
bad,mauvais
heavy,lourd
liquid,liquide
perfect,parfait
pretty,joli
round,rond
blond,blond
some (de + les),des
dogs,les chiens
cats,les chats
the big dogs,les grands chiens
words,les mots
apples,les pommes
the small apples,les petites pommes
the big dogs (f),les grandes chiennes
the small elephants,les petits éléphants
letters,les lettres
the good names,les bons noms
the only ducks,les seuls canards
the lonely ducks,les canards seuls
the big fish (plural),les gros poissons
books,les livres
the pink glasses,les verres roses
recipes,les recettes
lemons,les citrons
sandwiches,les sandwichs
fruits,les fruits
strawberries,les fraises
baguettes,les baguettes
crêpes,les crêpes
vegetables,les légumes
"chips, fries",les frites
beans,les haricots
It is,C&#39;est
you are (i),tu es
I have,j&#39;ai
you have (i),tu as
he has,il a
these are,ce sont
they have (m),ils ont
w an adjective describing a person,il est
He is strong.,Il est fort.
w an adjective describing a situation,c&#39;est
That&#39;s normal!,C&#39;est normal !
w an unmodified adverb,il est
It&#39;s late.,Il est tard.
They are here.,Ils sont ici.
w a modified adverb,c&#39;est
It&#39;s too late.,C&#39;est trop tard.
It&#39;s very far from here.,C&#39;est très loin d&#39;ici.
w an unmodified noun,il est
He&#39;s (a) lawyer. (il est),Il est avocat.
She&#39;s (an) actress. (elle est),Elle est actrice.
w a modified noun,c&#39;est
He&#39;s a lawyer. (c&#39;est),C&#39;est un avocat.
She&#39;s a good actress. (c&#39;est),C&#39;est une bonne actrice.
w a prepositional phrase (people),il est
He&#39;s at the bank.,Il est à la banque.
She&#39;s in France.,Elle est en France.
w a proper name,c&#39;est
That&#39;s Luc.,C&#39;est Luc.
w a stressed pronoun,c&#39;est
That&#39;s me.,C&#39;est moi.
"wallet, portfolio",le portefeuille
"suit, costume",le costume
glove,le gant
jeans,le jean
jacket,la veste
bag,le sac
pocket,la poche
item of clothing,le vêtement
trousers,le pantalon
hat,le chapeau
shirt,la chemise
skirt,la jupe
coat,le manteau
boot,la botte
sock,la chaussette
umbrella,le parapluie
scarf,l&#39;écharpe (f)
cap,la casquette
tie,la cravate
my (m),mon
"your (i,m)",ton
his/her/its (m),son
my (f),ma
"your (i,f)",ta
his/her/its(f),sa
our (s),notre
"your (s, formal)",votre
their (s),leur
my (p),mes
"your (i,p)",tes
his/her/its (p),ses
our (p),nos
"your (p, formal)",vos
their (p),leurs
white,blanc
color,la couleur
blue,bleu
green,vert
yellow,jaune
pink,rose
grey,gris
brown,marron
violet,violet
to buy,acheter
to bring (something),apporter
to learn,apprendre
to respect,respecter
to hide,cacher
to call (name),appeler
to help,aider
to act,agir
to adore,adorer
to know (a fact),savoir
to want,vouloir
to look for,chercher
to know (a person),connaître
to begin,commencer
"to need to, must",falloir
I make/do,je fais
you make/do (i),tu fais
