Je n'ai pas à vous parler.<br /><br /><br />,[ I don't have to talk to you. ]<br>
Je n'ai pas de chez moi.<br><br><br>,[ I don't have a home. ]<br>
Il ne la veut pas.<br><br><br>,[ He doesn't want it. ]<br>
Je ne veux pas y aller.<br><br><br>,[ I don't want to go. ]<br>
Je ne vais pas bien.<br><br><br>,[ I'm not well. ]<br>
Il me l'a fait faire.<br><br><br>,[ He made me do it. ]<br>
Il est plus fort que moi.<br><br><br>,[ He's stronger than me. ]<br>
Je l'ai fait pour lui.<br><br><br>,[ I did it for him. ]<br>
Je dois la voir !<br><br><br>,[ I have to see it! ]<br>
Il le fait comme il faut.<br><br><br>,[ He's doing it right. ]<br>
De quoi ça a l'air ?<br><br><br>,[ What does it look like? ]<br>
Que fait ton père ?<br><br><br>,[ What does your father do? ]<br>
Je n'ai rien fait !<br><br><br>,[ I didn’t do anything! ]<br>
Je suis dans la maison.<br><br><br>,[ I am in the house. ]<br>
Je n'ai pas ce livre.<br><br><br>,[ I don't have this book. ]<br>
Tu sais ce que c'est.<br><br><br>,[ You know what it is. ]<br>
Il ne me parle jamais.<br><br><br>,[ He never speaks to me. ]<br>
Je veux le voir.<br><br><br>,[ I want to see it. ]<br>
Si tu veux.<br><br><br>,[ If you want. ]<br>
Je te l'ai dit !<br><br><br>,[ I told you so. ]<br>
Tu as tout.<br><br><br>,[ You have everything. ]<br>
Je veux être là avec toi.<br><br><br>,[ I want to be here with you. ]<br>
Il était plus petit que moi.<br><br><br>,[ He was shorter than me. ]<br />
Je n'ai pas dit ça.<br><br><br>,[ I didn't say that. ]<br>
Il ne s'est pas fait prendre.<br><br><br>,[ He didn’t get caught. ]<br>
Il n'est plus ici.<br><br><br>,[ He is no longer here. ]<br>
Il n'y a que moi ici.<br><br><br>,[ There's no one but me here. ]<br>
Je l'ai fait pour toi.<br><br><br>,[ I did it for you. ]<br>
Je ne vous ai pas entendu.<br><br><br>,[ I didn't hear you. ]<br>
Tout le monde le pense.<br><br><br>,[ Everyone thinks so. ]<br>
Il ne veut pas en parler.<br><br><br>,[ He doesn't want to talk about it. ]<br>
Nous avons beaucoup à faire.<br><br><br>,[ We have a lot to do. ]<br>
